height;avgdepth
137;0,879528
285;0,554297
61;0,626426
276;0,525278
80;0,003518
265;0,452853
107;0,738965
96;0,827078
45;0,711903
138;0,007448
37;0,758790
172;0,648216
135;0,457904
38;0,000000
261;0,573020
242;0,718003
195;0,346385
163;0,897128
234;0,521919
242;0,463940
228;0,627028
265;0,648854
255;0,721319
70;0,000000
280;0,509892
68;0,957606
152;0,106919
174;0,886938
136;0,850432
57;0,713060
250;0,317034
70;0,818011
218;0,444274
54;0,944006
81;0,917124
93;0,830252
182;0,824177
81;0,768091
219;0,516261
99;0,152840
183;0,773031
50;0,895529
150;0,892632
119;0,446248
170;0,786212
247;0,426180
88;0,000000
105;0,796286
262;0,539292
188;0,232807
271;0,587297
77;0,000000
130;0,128578
86;0,079544
98;0,000000
62;0,833722
51;0,000000
139;0,873406
277;0,381638
50;0,881896
288;0,459811
47;0,889480
186;0,801620
62;0,000000
97;0,000000
273;0,494870
111;0,703119
249;0,671736
112;0,912743
124;0,189600
142;0,266050
287;0,670321
221;0,489748
119;0,922508
163;0,545401
56;0,229354
204;0,757438
69;0,835923
242;0,242750
264;0,646586
94;0,000000
159;0,288803
122;0,829507
185;0,865679
148;0,871819
161;0,080813
51;0,918120
78;0,076758
36;0,893324
61;0,836421
93;0,778607
46;0,000000
154;0,421322
283;0,534005
273;0,351647
114;0,645130
178;0,542659
130;0,144984
105;0,885198
41;0,875290
278;0,577488
140;0,822172
239;0,623369
278;0,385781
192;0,318028
178;0,505824
35;0,900377
144;0,206432
102;0,133413
39;0,852403
267;0,647230
56;0,741914
287;0,581403
246;0,515022
232;0,604666
117;0,884810
163;0,607947
87;0,692581
74;0,857492
105;0,013536
270;0,657115
210;0,531002
141;0,436205
277;0,548996
176;0,820560
218;0,324992
100;0,480033
230;0,724445
100;0,311333
65;0,187340
32;0,909488
165;0,931020
149;0,853984
53;0,000000
146;0,358423
160;0,665712
265;0,462866
201;0,658714
277;0,533186
100;0,853446
67;0,873526
176;0,504272
227;0,525924
114;0,000000
198;0,294806
93;0,097924
258;0,701080
82;0,583364
226;0,391511
271;0,600044
102;0,049077
38;0,906241
250;0,787232
265;0,539940
39;0,560496
93;0,869895
280;0,350291
262;0,415911
151;0,604176
115;0,000000
75;0,035142
229;0,629057
111;0,107181
261;0,766010
135;0,881654
58;0,901763
261;0,657341
152;0,889828
109;0,000000
166;0,272500
218;0,568441
115;0,223335
282;0,520408
201;0,601596
74;0,762116
239;0,893940
257;0,676822
