Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3294;3804;15;526;0.862304;0.003928;0.995467;0.862304;0.924113;3.339050;-4.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3311;3804;15;509;0.866754;0.003928;0.995490;0.866754;0.926672;3.333944;-4.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3330;3803;16;490;0.871728;0.004190;0.995218;0.871728;0.929389;3.335384;-3.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3351;3802;17;469;0.877225;0.004451;0.994952;0.877225;0.932387;3.333290;-3.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3373;3799;20;447;0.882984;0.005237;0.994106;0.882984;0.935256;3.334337;-3.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3399;3799;20;421;0.889791;0.005237;0.994150;0.889791;0.939080;3.336562;-3.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3423;3798;21;397;0.896073;0.005499;0.993902;0.896073;0.942456;3.333159;-3.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3444;3795;24;376;0.901571;0.006284;0.993080;0.901571;0.945115;3.336170;-2.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3462;3794;25;358;0.906283;0.006546;0.992831;0.906283;0.947585;3.337741;-2.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3480;3794;25;340;0.910995;0.006546;0.992867;0.910995;0.950171;3.339704;-2.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3492;3793;26;328;0.914136;0.006808;0.992609;0.914136;0.951758;3.336039;-2.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3511;3791;28;309;0.919110;0.007332;0.992088;0.919110;0.954206;3.335122;-2.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3531;3790;29;289;0.924346;0.007594;0.991854;0.924346;0.956911;3.335515;-1.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3542;3788;31;278;0.927225;0.008117;0.991324;0.927225;0.958204;3.339835;-1.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3558;3785;34;262;0.931414;0.008903;0.990535;0.931414;0.960065;3.337741;-1.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3572;3784;35;248;0.935079;0.009165;0.990297;0.935079;0.961896;3.338788;-1.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3585;3777;42;235;0.938482;0.010998;0.988420;0.938482;0.962804;3.335646;-1.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3599;3776;43;221;0.942147;0.011259;0.988193;0.942147;0.964621;3.332112;-0.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3610;3772;47;210;0.945026;0.012307;0.987148;0.945026;0.965628;3.343108;-0.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3620;3769;50;200;0.947644;0.013092;0.986376;0.947644;0.966622;3.336431;-0.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3623;3765;54;197;0.948429;0.014140;0.985314;0.948429;0.966520;3.336562;-0.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3635;3762;57;185;0.951571;0.014925;0.984561;0.951571;0.967785;3.332373;0.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3649;3760;59;171;0.955236;0.015449;0.984088;0.955236;0.969447;3.339966;0.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3663;3759;60;157;0.958901;0.015711;0.983884;0.958901;0.971232;3.335122;0.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3671;3754;65;149;0.960995;0.017020;0.982602;0.960995;0.971678;3.333552;0.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3680;3748;71;140;0.963351;0.018591;0.981072;0.963351;0.972130;3.337217;0.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3690;3740;79;130;0.965969;0.020686;0.979040;0.965969;0.972460;3.337348;1.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3696;3737;82;124;0.967539;0.021472;0.978295;0.967539;0.972888;3.339442;1.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3706;3728;91;114;0.970157;0.023828;0.976034;0.970157;0.973087;3.339442;1.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3714;3723;96;106;0.972251;0.025137;0.974803;0.972251;0.973526;3.332897;1.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3723;3715;104;97;0.974607;0.027232;0.972825;0.974607;0.973715;3.335908;1.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3728;3709;110;92;0.975916;0.028803;0.971339;0.975916;0.973622;3.337348;2.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3738;3706;113;82;0.978534;0.029589;0.970657;0.978534;0.974580;3.339966;2.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3743;3698;121;77;0.979843;0.031684;0.968685;0.979843;0.974232;3.331850;2.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3747;3689;130;73;0.980890;0.034040;0.966469;0.980890;0.973626;3.335515;2.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3749;3681;138;71;0.981414;0.036135;0.964497;0.981414;0.972882;3.339050;2.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3753;3675;144;67;0.982461;0.037706;0.963048;0.982461;0.972658;3.338002;3.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3757;3671;148;63;0.983508;0.038754;0.962100;0.983508;0.972686;3.338395;3.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3765;3663;156;55;0.985602;0.040848;0.960214;0.985602;0.972743;3.337479;3.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3766;3658;161;54;0.985864;0.042158;0.959002;0.985864;0.972247;3.340228;3.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3770;3647;172;50;0.986911;0.045038;0.956367;0.986911;0.971399;3.342060;3.800000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3775;3632;187;45;0.988220;0.048966;0.952802;0.988220;0.970188;3.334468;4.000000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3777;3624;195;43;0.988743;0.051060;0.950906;0.988743;0.969456;3.343762;4.200000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3783;3607;212;37;0.990314;0.055512;0.946934;0.990314;0.968138;3.337741;4.400000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3786;3597;222;34;0.991099;0.058130;0.944611;0.991099;0.967297;3.334861;4.600000;
Corner(Depth)+Histogram(Depth)+HoG(Depth)+HoG(RGB)+LBP(RGB);3790;3589;230;30;0.992147;0.060225;0.942786;0.992147;0.966837;3.350962;4.800000;
