Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Histogram(Depth)+HoG(Depth)+HoG(RGB);2966;3787;32;854;0.776440;0.008379;0.989326;0.776440;0.870050;2.489331;-2.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3027;3780;39;793;0.792408;0.010212;0.987280;0.792408;0.879175;2.484880;-2.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3094;3776;43;726;0.809948;0.011259;0.986293;0.809948;0.889464;2.486975;-2.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3150;3770;49;670;0.824607;0.012831;0.984683;0.824607;0.897564;2.489069;-2.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3206;3769;50;614;0.839267;0.013092;0.984644;0.839267;0.906162;2.491295;-2.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3256;3761;58;564;0.852356;0.015187;0.982498;0.852356;0.912812;2.489593;-1.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3305;3760;59;515;0.865183;0.015449;0.982461;0.865183;0.920100;2.487760;-1.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3337;3756;63;483;0.873560;0.016496;0.981471;0.873560;0.924377;2.489069;-1.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3377;3754;65;443;0.884031;0.017020;0.981116;0.884031;0.930047;2.486189;-1.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3423;3741;78;397;0.896073;0.020424;0.977721;0.896073;0.935118;2.490509;-1.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3474;3730;89;346;0.909424;0.023305;0.975021;0.909424;0.941081;2.487237;-0.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3512;3722;97;308;0.919372;0.025399;0.973123;0.919372;0.945484;2.486320;-0.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3537;3709;110;283;0.925916;0.028803;0.969838;0.925916;0.947368;2.489724;-0.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3564;3698;121;256;0.932984;0.031684;0.967164;0.932984;0.949767;2.488153;-0.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3589;3686;133;231;0.939529;0.034826;0.964267;0.939529;0.951737;2.481084;0.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3613;3677;142;207;0.945812;0.037183;0.962184;0.945812;0.953927;2.490640;0.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3637;3670;149;183;0.952094;0.039015;0.960644;0.952094;0.956350;2.487760;0.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3655;3658;161;165;0.956806;0.042158;0.957809;0.956806;0.957307;2.485142;0.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3668;3638;181;152;0.960209;0.047395;0.952975;0.960209;0.956578;2.490902;0.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3687;3624;195;133;0.965183;0.051060;0.949768;0.965183;0.957414;2.485797;1.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3700;3604;215;120;0.968586;0.056297;0.945083;0.968586;0.956690;2.489331;1.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3712;3579;240;108;0.971728;0.062844;0.939271;0.971728;0.955224;2.487498;1.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3727;3554;265;93;0.975654;0.069390;0.933617;0.975654;0.954173;2.485927;1.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3739;3533;286;81;0.978796;0.074889;0.928944;0.978796;0.953219;2.487237;1.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3749;3504;315;71;0.981414;0.082482;0.922490;0.981414;0.951040;2.488022;2.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3757;3486;333;63;0.983508;0.087196;0.918582;0.983508;0.949937;2.485927;2.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3763;3459;360;57;0.985079;0.094266;0.912685;0.985079;0.947501;2.493127;2.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3770;3429;390;50;0.986911;0.102121;0.906250;0.986911;0.944862;2.487237;2.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3774;3398;421;46;0.987958;0.110238;0.899642;0.987958;0.941734;2.487237;2.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3780;3365;454;40;0.989529;0.118879;0.892773;0.989529;0.938664;2.487498;3.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3783;3329;490;37;0.990314;0.128306;0.885326;0.990314;0.934882;2.486713;3.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3790;3281;538;30;0.992147;0.140875;0.875693;0.992147;0.930290;2.489462;3.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3796;3226;593;24;0.993717;0.155276;0.864889;0.993717;0.924839;2.487891;3.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3797;3179;640;23;0.993979;0.167583;0.855758;0.993979;0.919704;2.486844;3.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3799;3117;702;21;0.994503;0.183818;0.844035;0.994503;0.913111;2.489331;4.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3805;3064;755;15;0.996073;0.197696;0.834430;0.996073;0.908115;2.488938;4.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3809;3004;815;11;0.997120;0.213407;0.823746;0.997120;0.902179;2.492080;4.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3813;2947;872;7;0.998168;0.228332;0.813874;0.998168;0.896649;2.487498;4.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3814;2881;938;6;0.998429;0.245614;0.802609;0.998429;0.889874;2.489855;4.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3815;2802;1017;5;0.998691;0.266300;0.789528;0.998691;0.881877;2.486189;5.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3815;2727;1092;5;0.998691;0.285939;0.777461;0.998691;0.874298;2.489331;5.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3815;2647;1172;5;0.998691;0.306887;0.764989;0.998691;0.866356;2.487237;5.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3816;2563;1256;4;0.998953;0.328882;0.752366;0.998953;0.858300;2.487760;5.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3818;2473;1346;2;0.999476;0.352448;0.739349;0.999476;0.849955;2.488153;5.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3818;2386;1433;2;0.999476;0.375229;0.727100;0.999476;0.841804;2.489593;6.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3818;2290;1529;2;0.999476;0.400367;0.714045;0.999476;0.832988;2.492080;6.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3818;2216;1603;2;0.999476;0.419743;0.704298;0.999476;0.826317;2.486451;6.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3819;2127;1692;1;0.999738;0.443048;0.692978;0.999738;0.818562;2.484487;6.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3819;2035;1784;1;0.999738;0.467138;0.681599;0.999738;0.810570;2.486713;6.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1941;1878;0;1.000000;0.491752;0.670411;1.000000;0.802690;2.485142;7.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1825;1994;0;1.000000;0.522126;0.657035;1.000000;0.793025;2.488284;7.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1721;2098;0;1.000000;0.549358;0.645488;1.000000;0.784555;2.488807;7.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1614;2205;0;1.000000;0.577376;0.634025;1.000000;0.776028;2.490509;7.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1524;2295;0;1.000000;0.600943;0.624693;1.000000;0.768998;2.488415;7.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1425;2394;0;1.000000;0.626866;0.614741;1.000000;0.761411;2.497840;8.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1339;2480;0;1.000000;0.649385;0.606349;1.000000;0.754941;2.492735;8.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1262;2557;0;1.000000;0.669547;0.599028;1.000000;0.749240;2.490640;8.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1189;2630;0;1.000000;0.688662;0.592248;1.000000;0.743914;2.490902;8.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1104;2715;0;1.000000;0.710919;0.584545;1.000000;0.737808;2.493520;8.800000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;1033;2786;0;1.000000;0.729510;0.578262;1.000000;0.732783;2.486713;9.000000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;960;2859;0;1.000000;0.748625;0.571942;1.000000;0.727688;2.486844;9.200000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;887;2932;0;1.000000;0.767740;0.565758;1.000000;0.722664;2.486451;9.400000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;826;2993;0;1.000000;0.783713;0.560693;1.000000;0.718518;2.489331;9.600000;
Histogram(Depth)+HoG(Depth)+HoG(RGB);3820;767;3052;0;1.000000;0.799162;0.555879;1.000000;0.714553;2.491818;9.800000;
FAST(Depth)+HoG(Depth)+HoG(RGB);218;3819;0;3602;0.057068;0.000000;1.000000;0.057068;0.107974;2.592748;-10.000000;
FAST(Depth)+HoG(Depth)+HoG(RGB);242;3819;0;3578;0.063351;0.000000;1.000000;0.063351;0.119153;2.589737;-9.800000;
FAST(Depth)+HoG(Depth)+HoG(RGB);278;3819;0;3542;0.072775;0.000000;1.000000;0.072775;0.135676;2.593140;-9.600000;
FAST(Depth)+HoG(Depth)+HoG(RGB);303;3819;0;3517;0.079319;0.000000;1.000000;0.079319;0.146980;2.584762;-9.400000;
FAST(Depth)+HoG(Depth)+HoG(RGB);337;3819;0;3483;0.088220;0.000000;1.000000;0.088220;0.162136;2.592093;-9.200000;
FAST(Depth)+HoG(Depth)+HoG(RGB);372;3819;0;3448;0.097382;0.000000;1.000000;0.097382;0.177481;2.582406;-9.000000;
FAST(Depth)+HoG(Depth)+HoG(RGB);407;3819;0;3413;0.106545;0.000000;1.000000;0.106545;0.192572;2.590522;-8.800000;
