Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
Corner(Depth)+HoG(Depth)+HoG(RGB);1052;3818;1;2768;0.275393;0.000262;0.999050;0.275393;0.431767;2.820919;-10.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1112;3818;1;2708;0.291099;0.000262;0.999102;0.291099;0.450841;2.831130;-9.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1153;3818;1;2667;0.301832;0.000262;0.999133;0.301832;0.463611;2.817646;-9.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1205;3818;1;2615;0.315445;0.000262;0.999171;0.315445;0.479507;2.830213;-9.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1262;3818;1;2558;0.330366;0.000262;0.999208;0.330366;0.496557;2.829952;-9.200000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1326;3818;1;2494;0.347120;0.000262;0.999246;0.347120;0.515252;2.813588;-9.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1377;3818;1;2443;0.360471;0.000262;0.999274;0.360471;0.529819;2.821312;-8.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1432;3817;2;2388;0.374869;0.000524;0.998605;0.374869;0.545108;2.816730;-8.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1496;3817;2;2324;0.391623;0.000524;0.998665;0.391623;0.562618;2.827464;-8.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1545;3817;2;2275;0.404450;0.000524;0.998707;0.404450;0.575741;2.819741;-8.200000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1607;3817;2;2213;0.420681;0.000524;0.998757;0.420681;0.592006;2.818170;-8.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1677;3815;4;2143;0.439005;0.001047;0.997620;0.439005;0.609707;2.818694;-7.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1742;3815;4;2078;0.456021;0.001047;0.997709;0.456021;0.625943;2.805865;-7.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1805;3814;5;2015;0.472513;0.001309;0.997238;0.472513;0.641208;2.821574;-7.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1846;3814;5;1974;0.483246;0.001309;0.997299;0.483246;0.651032;2.829952;-7.200000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1896;3813;6;1924;0.496335;0.001571;0.996845;0.496335;0.662705;2.821704;-7.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);1947;3812;7;1873;0.509686;0.001833;0.996418;0.509686;0.674402;2.824584;-6.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2007;3810;9;1813;0.525393;0.002357;0.995536;0.525393;0.687800;2.827726;-6.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2078;3810;9;1742;0.543979;0.002357;0.995688;0.543979;0.703572;2.829952;-6.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2161;3808;11;1659;0.565707;0.002880;0.994936;0.565707;0.721295;2.818432;-6.200000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2219;3807;12;1601;0.580890;0.003142;0.994621;0.580890;0.733432;2.820919;-6.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2279;3805;14;1541;0.596597;0.003666;0.993894;0.596597;0.745624;2.832308;-5.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2328;3804;15;1492;0.609424;0.003928;0.993598;0.609424;0.755476;2.824977;-5.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2386;3802;17;1434;0.624607;0.004451;0.992926;0.624607;0.766833;2.826286;-5.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2452;3799;20;1368;0.641885;0.005237;0.991909;0.641885;0.779402;2.832701;-5.200000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2507;3798;21;1313;0.656283;0.005499;0.991693;0.656283;0.789855;2.829166;-5.000000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2554;3795;24;1266;0.668586;0.006284;0.990690;0.668586;0.798374;2.829166;-4.800000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2607;3793;26;1213;0.682461;0.006808;0.990125;0.682461;0.807996;2.820919;-4.600000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2670;3792;27;1150;0.698953;0.007070;0.989989;0.698953;0.819395;2.816730;-4.400000;
Corner(Depth)+HoG(Depth)+HoG(RGB);2712;3788;31;1108;0.709948;0.008117;0.988699;0.709948;0.826451;2.817777;-4.200000;
