Name;TP;TN;FP;FN;TPR;FPR;Precision;Recall;F1;EvaluationTimePerWindowMS;ValueShift;
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;363;515892;6697;622;0.368528;0.012815;0.051416;0.368528;0.090242;2.387242;-3.000000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;380;515309;7280;605;0.385787;0.013931;0.049608;0.385787;0.087912;2.387133;-2.800000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;399;514754;7835;586;0.405076;0.014993;0.048458;0.405076;0.086560;2.387175;-2.600000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;415;514100;8489;570;0.421320;0.016244;0.046608;0.421320;0.083932;2.387240;-2.400000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;427;513441;9148;558;0.433503;0.017505;0.044595;0.433503;0.080871;2.387202;-2.200000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;447;512755;9834;538;0.453807;0.018818;0.043478;0.453807;0.079354;2.387179;-2.000000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;465;511990;10599;520;0.472081;0.020282;0.042028;0.472081;0.077185;2.387107;-1.800000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;478;511175;11414;507;0.485279;0.021841;0.040195;0.485279;0.074241;2.387210;-1.600000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;487;510345;12244;498;0.494416;0.023430;0.038253;0.494416;0.071012;2.387284;-1.400000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;502;509458;13131;483;0.509645;0.025127;0.036822;0.509645;0.068682;2.387080;-1.200000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;515;508493;14096;470;0.522843;0.026973;0.035247;0.522843;0.066043;2.387238;-1.000000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;530;507477;15112;455;0.538071;0.028918;0.033883;0.538071;0.063752;2.387244;-0.800000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;549;506483;16106;436;0.557360;0.030820;0.032963;0.557360;0.062245;2.387082;-0.600000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;568;505439;17150;417;0.576650;0.032817;0.032058;0.576650;0.060739;2.387137;-0.400000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;586;504315;18274;399;0.594924;0.034968;0.031071;0.594924;0.059058;2.387162;-0.200000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;601;503025;19564;384;0.610152;0.037437;0.029804;0.610152;0.056832;2.387282;0.000000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;618;501697;20892;367;0.627411;0.039978;0.028731;0.627411;0.054946;2.387164;0.200000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;637;500358;22231;348;0.646701;0.042540;0.027856;0.646701;0.053410;2.387061;0.400000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;649;498952;23637;336;0.658883;0.045231;0.026723;0.658883;0.051363;2.387183;0.600000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;664;497388;25201;321;0.674112;0.048223;0.025672;0.674112;0.049460;2.387151;0.800000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;680;495824;26765;305;0.690355;0.051216;0.024777;0.690355;0.047837;2.387191;1.000000
HOG(RGB)+HOG(Depth)+LBP(RGB)_sliding;690;494216;28373;295;0.700508;0.054293;0.023742;0.700508;0.045927;2.387235;1.200000
